Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Navigating to the URL,20,1748,1495,2409,2898,2989,971,2989,0.00%,5.17331,14.67,16.16
Choosing depature and destination city,20,5990,5961,6682,7359,7522,4969,7522,0.00%,2.23389,18.35,85.85
Choose the flight,20,2646,2741,3632,3747,3972,1476,3972,0.00%,3.19642,15.57,47.09
Passenger details,20,10037,10071,11209,11228,11625,7812,11625,0.00%,1.43031,21.84,137.42
Booking status,20,1999,1862,2510,2855,3179,1332,3179,0.00%,2.54227,12.02,38.62
TOTAL,100,4484,2829,10071,10659,11228,971,11625,0.00%,3.83774,27.57,128.61
